,Price,Area,Location,No. of Bedrooms,Gymnasium,Car Parking,Landscaped Gardens,Swimming Pool
244,12100000,1150,Dahisar,2,Yes,Yes,No,Yes
245,11000000,1054,kandivali,2,Yes,Yes,Yes,Yes
247,21600000,1579,Goregaon,3,Yes,Yes,Yes,Yes
252,23800000,1672,Malad East,3,Yes,Yes,Yes,Yes
253,20500000,1457,Malad East,3,Yes,Yes,Yes,Yes
254,5500000,425,Bhandup West,1,No,No,No,No
255,9000000,560,thakur village kandivali east,1,No,No,No,No
257,8500000,575,Kanjurmarg,1,Yes,Yes,No,Yes
258,9000000,400,Borivali East,1,No,No,No,No
259,2500000,300,Kandivali East,1,No,No,No,No
260,5500000,400,I C Colony,1,No,Yes,Yes,No
261,8000000,650,Dahisar W,1,No,Yes,No,No
263,11500000,860,Marol,1,Yes,Yes,Yes,Yes
270,18500000,1038,Jogeshwari East,2,Yes,No,Yes,Yes
271,11000000,600,Malad West,1,No,Yes,No,No
272,9200000,400,Chembur Shell Colony,1,Yes,Yes,No,No
276,21800000,1412,Mulund,3,Yes,Yes,Yes,No
277,21200000,1412,Mulund,3,Yes,Yes,Yes,No
278,3000000,545,Nalasopara West,1,No,Yes,No,No
279,11000000,585,raheja vihar,1,No,Yes,No,No
280,17900000,1000,raheja vihar,2,No,Yes,No,No
281,19500000,1050,Powai Lake,2,Yes,Yes,No,No
282,19500000,1014,MHADA Colony 20,2,No,Yes,No,No
283,16000000,900,Goregaon East,2,No,Yes,No,No
284,11500000,600,Tolaram Colony,1,Yes,Yes,No,No
285,10500000,700,Tolaram Colony,2,Yes,Yes,No,No
286,6400000,1550,Taloja,3,Yes,Yes,No,Yes
288,2100000,529,Vangani,1,No,No,No,No
289,3600000,530,Sector 20 Kharghar,1,Yes,Yes,No,No
290,9200000,1260,Sector 5 Ulwe,2,Yes,Yes,No,No
291,9000000,1260,Sector12 New Panvel,2,Yes,Yes,No,No
292,9200000,1150,Sector 17 Ulwe,2,Yes,Yes,No,No
293,5300000,690,Sector 17 Ulwe,1,Yes,Yes,No,No
294,15500000,1240,Sector9 Kamothe,3,Yes,Yes,No,No
295,9500000,1260,Sector 19 Kharghar,2,Yes,Yes,No,No
296,9000000,1240,Sector 5 Ulwe,2,Yes,Yes,No,No
297,10100000,1265,Navi Basti,2,Yes,No,No,No
298,10800000,1260,Sector12 Kamothe,2,Yes,Yes,No,No
299,11000000,1255,Sector 21 Kamothe,2,Yes,Yes,No,No
300,7200000,1055,Sector 19 Kharghar,2,Yes,Yes,No,No
301,7000000,1060,Sector 5 Ulwe,2,Yes,Yes,No,No
302,12700000,1238,Navi Basti,2,Yes,No,No,No
303,8500000,1150,Sector12 Kamothe,2,Yes,Yes,No,No
304,8500000,1165,Sector12 Kamothe,2,Yes,Yes,No,No
305,7700000,1080,Sector9 Kamothe,2,Yes,Yes,No,No
306,11000000,1470,Sector12 Kamothe,3,Yes,Yes,No,No
307,6000000,610,Sector9 Kamothe,1,Yes,Yes,No,No
308,9200000,1180,Sector12 Kamothe,2,Yes,Yes,No,No
309,15000000,1735,Sector9 Kamothe,3,Yes,Yes,No,No
310,11000000,1230,Sector 17 Ulwe,2,Yes,Yes,No,No
311,4500000,599,Sector 17 Ulwe,1,Yes,Yes,No,No
312,8800000,980,Sector9 Kamothe,2,Yes,Yes,No,No
313,16500000,1654,Sector9 Kamothe,3,Yes,Yes,No,No
314,16800000,1665,Sector 17 Ulwe,3,Yes,Yes,No,No
315,16299999,1640,Sector 17 Ulwe,3,Yes,Yes,No,No
316,15500000,1650,Sector 17 Ulwe,3,Yes,Yes,No,No
317,4900000,980,Taloja,2,No,Yes,No,No
318,3400000,730,Rutu Enclave,1,No,Yes,No,No
319,4800000,1020,taloja panchanand,2,No,Yes,No,No
320,6200000,1075,Virar West,2,Yes,Yes,No,No
323,10700000,715,Chembur,1,No,Yes,No,No
324,15000000,1016,Chembur,2,No,Yes,No,No
325,18500000,1000,Chembur,2,No,Yes,No,No
326,17600000,1100,Chembur,2,No,Yes,No,No
327,5000000,578,Sector 20 Kamothe,1,No,Yes,No,No
328,5000000,650,Sector 22 Kamothe,1,No,Yes,No,No
329,4000000,600,Sector 21 Kamothe,1,No,Yes,No,No
330,5000000,600,Sector 22 Kamothe,1,No,Yes,No,No
331,6250000,625,Sector 18 Kamothe,1,No,Yes,No,No
332,4800000,600,Sector 22 Kamothe,1,No,Yes,No,No
333,3800000,560,Sector-5 Kamothe,1,No,Yes,No,No
334,3600000,580,Sector-6A Kamothe,1,No,Yes,No,No
335,4400000,530,Sector 11 Kamothe,1,No,Yes,No,No
336,5000000,650,Sector-18 Ulwe,1,No,Yes,No,No
337,9000000,1450,Sector 21 Kamothe,2,No,Yes,No,No
338,2600000,380,Sector-12 Kamothe,1,No,Yes,No,No
339,2600000,400,Navi Basti,1,No,No,No,No
340,21000000,620,azad nagar,2,No,Yes,No,No
341,19600000,1250,Chembur,2,No,Yes,Yes,No
342,18600000,1067,Sindhi Society Chembur,2,Yes,Yes,Yes,Yes
343,21500000,1200,Chembur,2,Yes,Yes,Yes,Yes
344,11000000,780,Kurla,2,Yes,Yes,Yes,No
345,13799999,1020,Sahkar Nagar,2,Yes,Yes,Yes,No
346,14000000,671,Deonar,1,Yes,Yes,Yes,Yes
347,22000000,1650,Kharghar,3,Yes,Yes,Yes,Yes
348,14500000,1360,Kharghar,2,Yes,Yes,No,Yes
349,25000000,1600,Kandivali East,3,Yes,Yes,Yes,Yes
350,11500000,1250,Kharghar,2,Yes,Yes,Yes,Yes
351,4000000,750,Taloja,1,No,Yes,No,No
352,2500000,450,Taloja,1,No,No,No,No
353,2300000,410,Taloja,1,No,No,No,No
355,5700000,516,Thane,1,Yes,No,No,No
356,9600000,900,Jankalyan Nagar,1,No,Yes,Yes,No
357,2010000,600,Badlapur,1,No,Yes,No,No
358,2005000,575,Badlapur,1,No,Yes,No,No
359,2548000,675,Ambarnath,1,Yes,Yes,No,No
360,2492000,660,Ambarnath,1,No,Yes,No,No
361,2418000,640,Ambarnath,1,No,Yes,No,No
362,2400000,690,Ambernath West,1,No,Yes,Yes,Yes
363,21700000,900,Vakola,2,No,Yes,No,No
364,16700000,1150,Jankalyan Nagar,2,No,Yes,Yes,No
365,2900000,350,Jankalyan Nagar,1,No,Yes,Yes,No
366,11500000,950,Jankalyan Nagar,2,No,Yes,Yes,No
367,4000000,620,Kamothe,1,Yes,Yes,No,No
368,6400000,980,Kamothe,2,Yes,Yes,No,No
369,6900000,950,Kamothe,2,Yes,Yes,No,Yes
370,7500000,890,Sector 17 Ulwe,2,Yes,Yes,No,No
371,5425000,619,Kamothe,1,Yes,Yes,No,No
372,5700000,710,Kamothe,1,Yes,Yes,No,No
373,7100000,887,Kamothe,2,Yes,Yes,No,No
374,7800000,1005,Kamothe,2,Yes,Yes,No,No
375,5900000,950,Kamothe,2,Yes,Yes,No,No
376,6200000,660,Kamothe Sector 16,1,Yes,Yes,No,No
377,5500000,650,Sector 17 Ulwe,1,Yes,Yes,No,No
378,5000000,650,Kamothe,1,Yes,Yes,No,No
379,4050000,638,Kamothe,1,Yes,Yes,No,No
380,5050000,675,Kamothe,2,Yes,Yes,No,No
381,7400000,890,Sector 17 Ulwe,2,Yes,Yes,No,No
382,6800000,1006,Kamothe,2,Yes,Yes,No,No
383,3000000,420,Kamothe,1,No,Yes,No,No
384,5200000,850,Kamothe,1,Yes,Yes,No,No
385,6700000,1005,Kamothe,2,Yes,Yes,No,No
386,6900000,900,Kamothe,2,Yes,Yes,No,No
387,7950000,940,Kamothe,2,Yes,Yes,No,No
388,5460000,620,Kamothe,1,Yes,Yes,No,No
389,4950000,650,Kamothe,2,Yes,Yes,No,No
390,7000000,1000,Kamothe,2,Yes,Yes,No,No
391,8575000,1100,Kamothe,2,Yes,Yes,No,No
392,4800000,600,Kamothe,1,Yes,Yes,No,No
393,2700000,350,Sector 17 Ulwe,1,Yes,Yes,No,No
394,7900000,940,Kamothe,2,Yes,Yes,No,No
400,2100000,770,Palghar,1,No,No,No,No
401,14500000,989,Chembur,2,Yes,Yes,Yes,Yes
402,14900000,1550,Kharghar,3,No,Yes,No,No
403,3700000,550,Sector13 Kharghar,1,No,No,No,No
404,2700000,416,Sector 20 Kharghar,1,No,No,No,No
405,3850000,510,Kharghar,1,No,Yes,Yes,No
406,2850000,305,Kharghar,1,Yes,Yes,Yes,No
407,12100000,1251,Kharghar,2,Yes,Yes,Yes,Yes
408,6800000,989,Kharghar,2,Yes,Yes,Yes,Yes
409,6000000,850,Kharghar,2,Yes,Yes,No,Yes
410,6850000,989,Kharghar,2,Yes,Yes,Yes,Yes
411,5500000,900,Kharghar,2,No,Yes,No,No
412,9200000,1500,Sector 21 Kharghar,3,No,No,No,No
413,5000000,650,Sector 12 Kharghar,1,No,No,No,No
414,17500000,1750,Kharghar,3,Yes,Yes,Yes,Yes
415,9400000,1240,Kharghar,2,Yes,Yes,Yes,Yes
416,16500000,1560,Kharghar,3,Yes,Yes,Yes,Yes
417,3700000,640,Kharghar,1,No,No,No,No
418,2700000,350,Sector 21 Kharghar,1,No,No,No,No
419,8000000,1050,Kharghar,2,Yes,Yes,Yes,Yes
420,22000000,1770,Kharghar,3,Yes,Yes,Yes,Yes
421,10200000,1230,Kharghar,2,Yes,Yes,Yes,Yes
422,3100000,450,Kharghar,1,No,No,No,No
423,5500000,655,Kharghar,1,Yes,Yes,No,Yes
425,11000000,550,Vivek Vidyalaya Marg,1,No,No,No,No
426,12000000,510,Goregaon West,1,No,No,No,No
427,17000000,1270,Goregaon West,2,No,No,No,Yes
428,2900000,558,Vasai east,1,No,Yes,Yes,No
430,3682000,715,Badlapur West,1,No,Yes,No,No
431,11600000,1179,Thane West,2,Yes,Yes,No,Yes
432,2100000,495,Thane,1,No,Yes,No,No
433,2700000,570,Panvel,1,No,Yes,No,No
434,3600000,575,Kalyan,1,No,No,No,Yes
435,2865000,675,Badlapur East,1,No,Yes,No,No
436,2374000,634,Ambernath West,1,Yes,Yes,Yes,No
437,5200000,580,Mira Bhayandar,1,No,Yes,Yes,No
438,14000000,1185,Malad West,3,Yes,Yes,Yes,Yes
441,13000000,995,Malad West,2,Yes,Yes,Yes,Yes
442,10600000,1014,Malad West,2,Yes,Yes,Yes,Yes
443,11000000,756,Juhu,2,Yes,Yes,Yes,Yes
444,3985000,670,Kalyan,1,No,Yes,Yes,Yes
445,2200000,500,Naigaon East,1,Yes,Yes,Yes,Yes
446,2300000,500,Naigaon East,1,Yes,Yes,Yes,No
447,2650000,673,Ambarnath,1,Yes,Yes,Yes,Yes
448,4600000,650,Mira Road East,1,No,Yes,No,No
449,5000000,735,Ulwe,1,No,Yes,No,No
450,7200000,952,Sector 21 Ulwe,2,No,Yes,No,No
452,6100000,1150,Dronagiri,2,No,Yes,No,No
453,18500000,1250,Nerul,2,Yes,Yes,No,No
454,4700000,650,Karanjade,1,No,Yes,Yes,No
455,4100000,690,Karanjade,1,No,Yes,Yes,No
456,4000000,670,Karanjade,1,No,Yes,Yes,No
457,4300000,654,Karanjade,1,No,Yes,Yes,No
458,3950000,630,Karanjade,1,No,Yes,Yes,No
459,3850000,635,Karanjade,1,No,Yes,Yes,No
460,22500000,1750,Sanpada,3,No,Yes,Yes,No
461,17000000,1250,Sanpada,2,No,Yes,No,No
462,6000000,687,Sector-18 Ulwe,1,Yes,Yes,Yes,No
463,11100000,1310,Sector-8 Ulwe,2,Yes,Yes,Yes,Yes
464,3500000,690,Dronagiri,1,No,Yes,Yes,No
465,5200000,1070,Dronagiri,2,Yes,Yes,Yes,Yes
466,5800000,540,Ulwe,1,No,Yes,No,No
467,6200000,1135,Ulwe,2,No,Yes,No,No
469,15500000,1500,Sector-3 Ulwe,3,No,Yes,Yes,Yes
470,13799999,1440,Sector-3 Ulwe,2,Yes,Yes,Yes,Yes
471,3400000,704,Dronagiri,1,No,Yes,Yes,No
472,3500000,688,Dronagiri,1,Yes,Yes,Yes,No
473,5200000,667,Sector 17 Ulwe,1,No,Yes,Yes,No
474,2400000,625,Dronagiri,1,No,Yes,Yes,No
475,4900000,650,Sector 23 Ulwe,1,Yes,Yes,Yes,No
476,4500000,610,Ulwe,1,No,Yes,Yes,No
477,14500000,1560,Ulwe,3,Yes,Yes,Yes,Yes
478,8200000,1150,Sector 17 Ulwe,2,Yes,Yes,Yes,No
480,4900000,665,Sector 17 Ulwe,1,Yes,Yes,Yes,No
481,5000000,1155,Dronagiri,2,No,Yes,Yes,No
482,5300000,1120,Dronagiri,2,Yes,Yes,Yes,Yes
483,7000000,1000,Sector 17 Ulwe,2,No,Yes,Yes,No
484,3588000,690,Sector 23 Ulwe,1,Yes,Yes,Yes,No
485,3800000,655,Sector 17 Ulwe,1,No,Yes,Yes,No
486,3500000,655,Sector 17 Ulwe,1,No,Yes,Yes,No
487,3700000,650,ULWE SECTOR 19,1,No,Yes,Yes,No
488,8500000,1220,Ulwe,2,Yes,Yes,Yes,Yes
489,4900000,700,Ulwe,1,Yes,Yes,Yes,No
490,5400000,547,Ghodbunder Road,1,No,Yes,No,No
492,3000000,650,Dronagiri,1,No,Yes,Yes,No
493,3650000,665,Dronagiri,1,No,Yes,No,No
494,4200000,690,Dronagiri,1,No,Yes,Yes,No
495,3001000,675,Dronagiri,1,Yes,Yes,Yes,No
496,6800000,1250,Panvel,2,Yes,Yes,Yes,Yes
497,3300000,625,Karanjade,1,No,Yes,Yes,No
498,2850000,530,Karanjade,1,No,Yes,Yes,No
499,2100000,395,Karanjade,1,No,Yes,Yes,No
500,6300000,1090,Karanjade,2,No,Yes,Yes,No
501,6400000,1010,Karanjade,2,No,Yes,Yes,No
502,6000000,1010,Karanjade,2,No,Yes,Yes,No
503,4000000,568,Bhiwandi,2,Yes,Yes,Yes,No
504,7500000,1107,Vasai,3,No,Yes,Yes,No
505,2580000,605,Nala Sopara,1,Yes,Yes,Yes,Yes
506,3594000,850,Nala Sopara,2,Yes,Yes,Yes,Yes
507,5760000,778,Vasai,2,No,Yes,Yes,No
508,6952000,802,Bhiwandi,2,Yes,Yes,Yes,Yes
509,2451000,570,Nala Sopara,1,Yes,Yes,Yes,Yes
510,6137000,829,Bhiwandi,2,Yes,Yes,Yes,Yes
511,5600000,710,Mira Road East,1,Yes,Yes,Yes,Yes
512,8600000,1227,Bhiwandi,3,Yes,Yes,Yes,Yes
513,8100000,1108,Bhiwandi,3,Yes,Yes,Yes,Yes
